Test Type,Array Size,Algorithm,Comparisons,Time (ns)
Sorted Array,26,Bubble Sort,325,542
Sorted Array,26,Selection Sort,325,541
Sorted Array,26,Insertion Sort,25,125
Inverse Sorted Array,26,Heap Sort,175,1042
Inverse Sorted Array,26,Bubble Sort,325,1000
Inverse Sorted Array,26,Selection Sort,325,750
Inverse Sorted Array,26,Insertion Sort,325,542
Random Array,27,Heap Sort,173,1333
Random Array,27,Bubble Sort,351,1208
Random Array,27,Selection Sort,351,1125
Random Array,27,Insertion Sort,112,375
Sorted Array,27,Heap Sort,161,1042
Sorted Array,27,Bubble Sort,351,542
Sorted Array,27,Selection Sort,351,584
Sorted Array,27,Insertion Sort,26,42
Inverse Sorted Array,27,Heap Sort,185,1125
Inverse Sorted Array,27,Bubble Sort,351,1042
Inverse Sorted Array,27,Selection Sort,351,875
Inverse Sorted Array,27,Insertion Sort,351,583
Random Array,28,Heap Sort,182,1417
Random Array,28,Bubble Sort,378,1292
Random Array,28,Selection Sort,378,1250
Random Array,28,Insertion Sort,120,459
Sorted Array,28,Heap Sort,171,1083
Sorted Array,28,Bubble Sort,378,583
Sorted Array,28,Selection Sort,378,584
Sorted Array,28,Insertion Sort,27,84
Inverse Sorted Array,28,Heap Sort,193,1042
Inverse Sorted Array,28,Bubble Sort,378,1125
Inverse Sorted Array,28,Selection Sort,378,833
Inverse Sorted Array,28,Insertion Sort,378,584
Random Array,29,Heap Sort,191,1416
Random Array,29,Bubble Sort,406,1375
Random Array,29,Selection Sort,406,1167
Random Array,29,Insertion Sort,136,458
Sorted Array,29,Heap Sort,176,1042
Sorted Array,29,Bubble Sort,406,625
Sorted Array,29,Selection Sort,406,667
Sorted Array,29,Insertion Sort,28,84
Inverse Sorted Array,29,Heap Sort,203,1042
Inverse Sorted Array,29,Bubble Sort,406,1208
Inverse Sorted Array,29,Selection Sort,406,833
Inverse Sorted Array,29,Insertion Sort,406,625
Random Array,30,Heap Sort,201,1458
Random Array,30,Bubble Sort,435,1542
Random Array,30,Selection Sort,435,1166
Random Array,30,Insertion Sort,155,458
Sorted Array,30,Heap Sort,188,1125
Sorted Array,30,Bubble Sort,435,666
Sorted Array,30,Selection Sort,435,708
Sorted Array,30,Insertion Sort,29,84
Inverse Sorted Array,30,Heap Sort,211,1083
Inverse Sorted Array,30,Bubble Sort,435,1500
Inverse Sorted Array,30,Selection Sort,435,917
Inverse Sorted Array,30,Insertion Sort,435,625
